Pres[hPa],Geop[m],Temp[oC],Td[oC],Dir[o],Vel[m/s]
1016.0,-999.0,30.6,21.6,360,4.62996
1000.0,143.0,28.0,20.0,10,4.62996
989.0,-999.0,-999.0,-999.0,10,5.65884
968.0,-999.0,24.8,19.8,345,7.20216
925.0,829.0,21.4,16.9,5,10.28880
920.0,-999.0,20.8,16.9,5,10.28880
872.0,-999.0,19.0,16.5,15,5.65884
861.0,-999.0,-999.0,-999.0,40,2.57220
850.0,1560.0,19.6,15.4,90,3.60108
844.0,-999.0,19.8,14.8,-999.0,-999.0
828.0,-999.0,18.4,16.4,-999.0,-999.0
795.0,-999.0,17.0,11.0,-999.0,-999.0
740.0,-999.0,12.6,9.3,-999.0,-999.0
700.0,3209.0,9.8,5.3,165,3.08664
654.0,-999.0,6.6,-.4,-999.0,-999.0
641.0,-999.0,5.2,-.8,175,.51444
632.0,-999.0,5.6,-11.4,-999.0,-999.0
610.0,-999.0,4.4,-28.6,-999.0,-999.0
589.0,-999.0,-999.0,-999.0,325,5.14440
566.0,-999.0,1.2,-25.8,-999.0,-999.0
507.0,-999.0,-999.0,-999.0,5,6.17328
503.0,-999.0,-7.1,-27.1,-999.0,-999.0
500.0,5930.0,-7.1,-29.1,350,3.60108
483.0,-999.0,-8.1,-35.1,-999.0,-999.0
481.0,-999.0,-999.0,-999.0,40,5.14440
469.0,-999.0,-6.3,-48.3,90,.51444
413.0,-999.0,-12.7,-50.7,-999.0,-999.0
410.0,-999.0,-999.0,-999.0,35,9.25992
400.0,7650.0,-14.7,-49.7,45,9.25992
387.0,-999.0,-999.0,-999.0,50,11.31768
360.0,-999.0,-999.0,-999.0,60,7.71660
332.0,-999.0,-26.3,-41.3,-999.0,-999.0
318.0,-999.0,-999.0,-999.0,80,11.31768
300.0,9750.0,-31.1,-51.1,65,11.83212
275.0,-999.0,-999.0,-999.0,55,14.91876
259.0,-999.0,-999.0,-999.0,70,17.49096
257.0,-999.0,-39.5,-57.5,-999.0,-999.0
250.0,11020.0,-41.3,-54.3,70,19.03428
206.0,-999.0,-52.5,-57.5,-999.0,-999.0
201.0,-999.0,-999.0,-999.0,70,23.66424
200.0,12490.0,-53.7,-59.7,70,23.66424
184.0,-999.0,-58.3,-63.3,60,21.60648
177.0,-999.0,-59.1,-71.1,-999.0,-999.0
165.0,-999.0,-61.3,-74.3,-999.0,-999.0
156.0,-999.0,-999.0,-999.0,75,18.51984
150.0,14290.0,-65.9,-75.9,85,15.94764
149.0,-999.0,-999.0,-999.0,85,15.94764
128.0,-999.0,-999.0,-999.0,120,21.60648
125.0,-999.0,-73.5,-78.5,-999.0,-999.0
124.0,-999.0,-73.7,-78.6,-999.0,-999.0
114.0,-999.0,-999.0,-999.0,55,22.12092
106.0,-999.0,-77.1,-81.9,-999.0,-999.0
103.0,-999.0,-999.0,-999.0,55,10.80324
100.0,16670.0,-75.3,-84.3,30,7.71660
97.8,-999.0,-999.0,-999.0,355,6.68772
94.2,-999.0,-999.0,-999.0,355,5.65884
82.1,-999.0,-999.0,-999.0,180,1.02888
78.3,-999.0,-79.3,-87.3,-999.0,-999.0
76.4,-999.0,-999.0,-999.0,140,5.14440
73.9,-999.0,-999.0,-999.0,125,11.83212
72.9,-999.0,-74.7,-87.7,-999.0,-999.0
70.0,18720.0,-74.7,-88.7,105,9.25992
63.8,-999.0,-73.9,-89.9,-999.0,-999.0
62.1,-999.0,-999.0,-999.0,70,12.34656
60.5,-999.0,-70.1,-89.1,-999.0,-999.0
55.0,-999.0,-999.0,-999.0,75,14.40432
50.4,-999.0,-999.0,-999.0,100,9.25992
50.0,20710.0,-65.7,-89.7,95,9.25992
49.2,-999.0,-999.0,-999.0,90,9.25992
47.6,-999.0,-999.0,-999.0,115,8.23104
46.0,-999.0,-999.0,-999.0,85,9.77436
40.5,-999.0,-999.0,-999.0,85,15.94764
39.1,-999.0,-999.0,-999.0,75,12.86100
36.5,-999.0,-999.0,-999.0,80,13.37544
34.7,-999.0,-999.0,-999.0,105,14.91876
32.9,-999.0,-56.1,-86.1,85,17.49096
30.0,23890.0,-59.3,-87.3,80,16.97652
28.6,-999.0,-60.3,-88.3,-999.0,-999.0
26.0,-999.0,-999.0,-999.0,70,19.03428
23.1,-999.0,-999.0,-999.0,90,15.94764
22.0,-999.0,-999.0,-999.0,75,19.54872
21.6,-999.0,-51.7,-83.7,-999.0,-999.0
20.2,-999.0,-999.0,-999.0,80,20.57760
20.0,26470.0,-52.1,-84.1,80,20.57760
19.0,-999.0,-999.0,-999.0,70,16.97652
18.8,-999.0,-51.9,-83.9,-999.0,-999.0
16.2,-999.0,-46.1,-81.1,-999.0,-999.0
15.9,-999.0,-999.0,-999.0,110,13.37544
15.0,-999.0,-46.3,-81.3,95,12.34656
